chr	start	end	peak.annotation.10.20.k27	activated.genes.10.20.k27
18	277674	277867	intergenic	
2	457449	457975	intergenic	
2	107261	107452	intergenic	
3	234124	234508	intergenic	
10	437718	438110	intergenic	
18	199732	199916	intergenic	
17	216558	216710	intergenic	
2	24291	24654	intergenic	
12	528960	530061	gene.body	ostta12g03150
6	615820	616153	TSS	ostta06g03620
18	199032	199590	TSS	ostta18g01080
3	387331	387655	TSS	ostta03g02370
3	314251	314940	TSS	ostta03g01910
20	24217	24548	intergenic	
2	605282	605865	intergenic	
2	379534	379690	intergenic	
7	219478	219632	TES	ostta07g01540
2	79682	79912	intergenic	
9	207009	207353	internal.gene.body	ostta09g01360
20	55277	55858	TSS	ostta20g00300
2	90774	91576	TSS	ostta02g00360
9	650225	650580	TSS	ostta09g04140
5	152813	153518	TSS	ostta05g01050
8	660164	661177	TSS	ostta08g03950
5	510193	511421	TSS	ostta05g03090
4	173789	174385	TSS	ostta04g00960
14	40851	41304	TSS	ostta14g00160
2	590871	591172	intergenic	
11	507325	508953	TSS	ostta11g02870
5	538999	539448	internal.gene.body	ostta05g03290
6	170766	171966	gene.body	ostta06g01030
14	101850	102013	TSS	ostta14g00580
7	339243	339390	internal.gene.body	ostta07g02140
9	659128	659275	internal.gene.body	ostta09g04190
17	352038	353058	TSS	ostta17g02075
13	47747	48047	TSS	ostta13g00290
5	20965	21045	internal.gene.body	ostta05g00130
7	400389	400639	internal.gene.body	ostta07g02510
3	441557	443058	TSS	ostta03g02770
3	771571	771756	internal.gene.body	ostta03g04680
11	550718	550923	internal.gene.body	ostta11g03070
1	600508	601111	TSS	ostta01g03770
10	415701	415861	internal.gene.body	ostta10g02490
8	162184	162339	internal.gene.body	ostta08g00940
16	442572	444764	TSS	ostta16g02310
14	174666	175941	TSS	ostta14g01040
12	402843	403053	internal.gene.body	ostta12g02400
16	121011	121227	internal.gene.body	ostta16g00780
1	986320	986508	internal.gene.body	ostta01g06050
9	440092	441102	TSS	ostta09g02850
7	22	189	intergenic	
15	151012	152270	internal.gene.body	ostta15g00840
4	47699	48988	TSS	ostta04g00350
5	636583	637825	TSS	ostta05g03870
2	716812	718319	TSS	ostta02g03650
16	464702	464875	internal.gene.body	ostta16g02410
7	57810	58095	TSS	ostta07g00330
3	59546	59770	internal.gene.body	ostta03g00280
7	668630	668976	internal.gene.body	ostta07g04100
9	123005	123206	internal.gene.body	ostta09g00820
2	608574	609561	TSS	ostta02g03060
8	159060	159222	internal.gene.body	ostta08g00920
20	106195	106423	internal.gene.body	ostta20g00630
7	133560	134773	TSS	ostta07g00910
2	634204	634387	internal.gene.body	ostta02g03250
7	143840	144019	internal.gene.body	ostta07g00990
10	524937	525107	TSS	ostta10g03190
3	162154	162213	internal.gene.body	ostta03g00910
6	175414	175668	internal.gene.body	ostta06g01060
17	122206	122460	internal.gene.body	ostta17g00700
9	372037	372328	TSS	ostta09g02370
7	40952	41151	TSS	ostta07g00220
18	318484	318806	internal.gene.body	ostta18g01840
4	710243	710412	internal.gene.body	ostta04g04130
10	77197	77451	internal.gene.body	ostta10g00380
13	509763	509913	internal.gene.body	ostta13g02900
3	342220	342482	internal.gene.body	ostta03g02090
17	242076	243906	TSS	ostta17g01500
7	183362	183906	TSS	ostta07g01285
4	494311	495907	TSS	ostta04g02830
