chr	start	end	peak.annotation.10.20.k27	repressed.genes.10.20.k27
16	413744	416157	TSS	ostta16g02160
10	461515	462417	TES	ostta10g02790
9	238601	239951	TSS	ostta09g01615
16	225593	227100	TES	ostta16g01360
2	996771	997986	TES	ostta02g05090
1	252030	253254	internal.gene.body	ostta01g01610
15	303698	304094	TES	ostta15g01720
7	658220	661142	TES	ostta07g04030
1	656129	658538	internal.gene.body	ostta01g04120
16	85209	85484	internal.gene.body	ostta16g00550
16	417751	419242	TSS	ostta16g02180
17	64633	66344	TES	ostta17g00370
7	747883	748944	TES	ostta07g04600
5	670014	672078	TES	ostta05g04080
7	702735	706582	gene.body	ostta07g04340
11	26514	28421	TES	ostta11g00160
6	120746	122569	TES	ostta06g00760
18	219186	221025	internal.gene.body	ostta18g01200
2	166747	167954	internal.gene.body	ostta02g00710,ostta02g00720
10	538883	540812	gene.body	ostta10g03280
7	721048	723519	TES	ostta07g04430
6	670188	671364	internal.gene.body	ostta06g03910
9	273636	276356	TES	ostta09g01830
10	247049	248646	TES	ostta10g01540
20	8	1508	gene.body	ostta20g00010
8	18261	20602	gene.body	ostta08g00090
2	237656	239069	TES	ostta02g00900
18	196767	197859	TES	ostta18g01070
16	419837	420604	internal.gene.body	ostta16g02190
16	195437	195679	intergenic	
2	1051827	1054298	gene.body	ostta02g05440
2	400486	400968	internal.gene.body	ostta02g01880
5	511410	512970	TES	ostta05g03090
20	4752	5630	internal.gene.body	ostta20g00035
16	67876	69563	TES	ostta16g00460
6	611563	611870	internal.gene.body	ostta06g03580
18	343250	345706	TES	ostta18g01980
9	259241	259802	internal.gene.body	ostta09g01760
2	804052	807491	gene.body	ostta02g04110
14	395040	395584	internal.gene.body	ostta14g02190
2	791581	791837	internal.gene.body	ostta02g04060
17	356008	357743	TES	ostta17g02090
11	318030	318989	TES	ostta11g01680
13	210633	212044	internal.gene.body	ostta13g01240
4	302705	304627	internal.gene.body	ostta04g01770
16	235389	239352	TES	ostta16g01410
10	170391	172410	gene.body	ostta10g01040
6	665035	666536	internal.gene.body	ostta06g03890
11	219660	221575	TES	ostta11g01150
17	52980	54629	TSS	ostta17g00300
2	171882	177487	TSS	ostta02g00710,ostta02g00720
5	673198	673818	internal.gene.body	ostta05g04090
2	1071534	1073212	TES	ostta02g05540
7	575434	576639	internal.gene.body	ostta07g03560
16	19294	19968	internal.gene.body	ostta16g00140
18	189471	192280	gene.body	ostta18g01040
2	115279	115559	internal.gene.body	ostta02g00460
1	835443	835930	internal.gene.body	ostta01g05160
14	349377	351042	TSS	ostta14g01910
20	85706	87048	internal.gene.body	ostta20g00500
8	697370	698886	gene.body	ostta08g04190
2	1048237	1049065	internal.gene.body	ostta02g05420
20	65521	66424	TSS	ostta20g00390
4	112126	113545	gene.body	ostta04g00690
16	161919	164065	gene.body	ostta16g01050
14	62833	64057	TES	ostta14g00300
6	721042	721870	internal.gene.body	ostta06g04260
2	657200	658267	internal.gene.body	ostta02g03370
15	304908	305593	internal.gene.body	ostta15g01730
13	120002	121093	gene.body	ostta13g00710
12	5	1246	TES	ostta12g00010
15	186080	188137	internal.gene.body	ostta15g01070
10	234155	236074	TSS	ostta10g01450
20	2195	4110	TES	ostta20g00020
18	161183	162407	gene.body	ostta18g00870
8	329684	330965	TES	ostta08g01880
10	12	5464	TES	ostta10g00010
2	592314	592510	internal.gene.body	ostta02g02970
7	299088	300219	TES	ostta07g01920
15	374201	375068	TSS	ostta15g02207
6	472404	475660	internal.gene.body	ostta06g02800
3	438675	440593	TSS	ostta03g02750
15	298959	303326	gene.body	ostta15g01710
1	1040736	1041851	internal.gene.body	ostta01g06360
2	800532	802896	TES	ostta02g04090
15	471268	472173	gene.body	ostta15g02720
6	12731	14168	TSS	ostta06g00055
8	380488	382194	internal.gene.body	ostta08g02180
12	505119	506696	TES	ostta12g03010
17	318242	318445	TES	ostta17g01910
4	660593	661102	TES	ostta04g03830
4	724003	726135	TES	ostta04g04250
7	133440	133938	TSS	ostta07g00900
20	38550	39185	TES	ostta20g00230
16	223690	224450	TES	ostta16g01355
5	823853	825174	internal.gene.body	ostta05g04970
2	14349	15067	TSS	ostta02g00050
7	271641	272047	internal.gene.body	ostta07g01770
10	338668	338778	internal.gene.body	ostta10g02060
2	393712	394004	internal.gene.body	ostta02g01860
15	146252	146531	internal.gene.body	ostta15g00810
2	15089	15238	internal.gene.body	ostta02g00050
14	396876	397178	intergenic	
