logFC	AveExpr	t	P.Value	adj.P.Val	B
2:605411-605870	-0.658228504103657	6.83534457392537	-5.05640127008272	5.52042831304834e-05	0.0836603324583329	1.61784327986739
9:147649-148260	0.604361535865233	7.30757828113518	5.34312877730009	2.83662813240417e-05	0.0836603324583329	2.1407600854488
7:219415-219639	0.60121916491654	4.90305355598366	4.80481413515823	9.95419709123576e-05	0.0836603324583329	1.1502945697869
2:533704-534406	0.55869896507529	7.34924256187639	4.82033274628264	9.59754334351262e-05	0.0836603324583329	1.17934743321684
4:370206-370345	0.522338063668371	3.6564282695379	4.00944911419294	0.000653821454762531	0.225115756270545	-0.365688477948455
2:185641-186238	0.491571248820595	7.28531134103551	4.79472801073553	0.000101931554010178	0.0836603324583329	1.13139790415875
5:0-214	-0.484116324528985	4.42182688980742	-1.45901391861466	0.159619433841254	0.772967761391932	-4.7494021837879
4:19156-19621	0.471082506054954	6.16256045188381	4.46034126753379	0.000224461999976176	0.143527415984767	0.499235788934743
15:485957-486194	0.469550704658336	4.38940040765035	4.75415233878322	0.000112145217772564	0.0836603324583329	1.05526761587204
9:50952-51457	0.455663554221612	6.71026537961419	4.10653157531373	0.000519358502123105	0.193720721291918	-0.17871741476764
15:465168-465699	0.442604715161512	6.66256860697494	4.2821894475071	0.000342374958804853	0.153247031561052	0.158731645474882
7:594147-594241	0.432959854425032	3.78145949955736	3.3827620562047	0.00286153327818149	0.401806491538301	-1.57010737427584
8:656265-656487	0.431550492013116	4.08457382905037	2.77502758939359	0.011466802691972	0.587140600073218	-2.70169306403788
15:257922-258146	0.430586210238878	3.92458418257448	4.31612989415541	0.000315898726522231	0.153247031561052	0.223758441871072
2:24267-24675	0.425570996318467	6.11912021331269	3.30930945476767	0.00339472209978143	0.415165958285036	-1.70976160141934
2:771976-772181	0.423216071008397	4.19938492534476	3.23702891658919	0.00401359135270648	0.419480168225539	-1.84660318091479
11:565516-565849	-0.423117652240955	4.86924129504492	-4.37455442294644	0.000275041858943383	0.153247031561052	0.335531682444898
2:109807-110307	0.41087350196275	6.68017675640463	3.28079647939462	0.00362685689243539	0.415165958285036	-1.76381630737992
1:686923-687171	0.407392275372176	4.34756011780329	3.84265086940093	0.000970606031450082	0.27152703729816	-0.687241151091809
6:615791-616182	0.406557220408448	5.68272229629895	3.48858261566085	0.00223475088261432	0.401806491538301	-1.36803219161647
2:452271-452918	0.405327546344899	7.51053379429666	3.18931774993253	0.00448091253710755	0.436012272088987	-1.93657111237173
8:249530-249783	0.39871360797685	4.36995658945043	4.12100037927961	0.000501835218723571	0.193720721291918	-0.150874623767976
2:336376-337740	0.389420052945894	7.59327652977718	3.75246043943919	0.00120123843642704	0.316279014202791	-0.861061601257054
