chr	start	end	peak.annotation.10.20.k4	repressed.genes.10.20.k4
2	533764	534385	intergenic	
9	147692	148256	TSS	ostta09g01010
9	51003	51424	TSS	ostta09g00380
2	553951	554602	TSS	ostta02g02710
18	277674	277867	intergenic	
4	19228	19584	internal.gene.body	ostta04g00130
2	457449	457975	intergenic	
2	337155	337730	intergenic	
2	107261	107452	intergenic	
2	109827	110247	TSS	ostta02g00430
9	137338	137716	gene.body	ostta09g00950
18	278227	278374	intergenic	
2	185666	186206	TSS	ostta02g00790
7	599860	600232	intergenic	
2	107836	108232	intergenic	
3	234124	234508	intergenic	
7	85286	85804	gene.body	ostta07g00470
2	524195	525242	gene.body	ostta02g02530,ostta02g02540
10	437718	438110	intergenic	
9	149502	149916	TSS	ostta09g01040
12	310814	310966	TSS	ostta12g01930
15	465187	465575	TSS	ostta15g02680
2	24291	24654	intergenic	
17	216558	216710	intergenic	
2	452265	452864	TSS	ostta02g02200
13	17316	17807	internal.gene.body	ostta13g00120
2	381980	382812	TSS	ostta02g01790
12	528960	530061	gene.body	ostta12g03150
12	298698	299428	TSS	ostta12g01860
2	158242	158435	TES	ostta02g00700
2	182241	182430	TES	ostta02g00770
18	199732	199916	intergenic	
12	368232	368508	TSS	ostta12g02180
4	617119	617642	TSS	ostta04g03510
2	96321	96816	TSS	ostta02g00380
6	615820	616153	TSS	ostta06g03620
18	199032	199590	TSS	ostta18g01080
3	387331	387655	TSS	ostta03g02370
5	748822	749351	TSS	ostta05g04530
12	305791	306302	TES	ostta12g01910
3	314251	314940	TSS	ostta03g01910
7	628121	628632	TSS	ostta07g03850
2	78093	79141	TSS	ostta02g00290
3	540470	540903	internal.gene.body	ostta03g03250
2	897819	898006	intergenic	
6	736174	736872	TSS	ostta06g04310
2	61699	62410	TES	ostta02g00220
8	393156	393528	TSS	ostta08g02280
2	405949	406449	TSS	ostta02g01920
3	52866	53220	TES	ostta03g00250
20	24217	24548	intergenic	
2	475014	475177	intergenic	
2	128218	128642	intergenic	
9	503361	503681	TSS	ostta09g03280
20	20408	20649	intergenic	
7	219478	219632	TES	ostta07g01540
14	183052	183331	TSS	ostta14g01070
2	379534	379690	intergenic	
13	150015	150530	TSS	ostta13g00885
14	397358	397505	intergenic	
9	8903	9359	TSS	ostta09g00050
2	310103	310398	TSS	ostta02g01260
9	207009	207353	internal.gene.body	ostta09g01360
17	261329	261690	internal.gene.body	ostta17g01620
2	79682	79912	intergenic	
1	544017	544357	TSS	ostta01g03420
16	163894	165485	gene.body	ostta16g01060
2	545801	546426	TSS	ostta02g02660
8	322154	322480	TSS	ostta08g01840
2	760344	760852	TSS	ostta02g03900
2	281699	282257	TSS	ostta02g01100
2	222767	223142	internal.gene.body	ostta02g00800
10	44728	45029	internal.gene.body	ostta10g00190
1	442452	443386	TSS	ostta01g02810
20	55277	55858	TSS	ostta20g00300
6	378296	378625	internal.gene.body	ostta06g02290
2	373809	374123	internal.gene.body	ostta02g01720
7	103149	103452	TSS	ostta07g00640
14	183426	183694	TSS	ostta14g01075
16	58567	59288	gene.body	ostta16g00410
13	80030	80464	internal.gene.body	ostta13g00460
2	555144	555552	TES	ostta02g02715
9	522724	523293	TSS	ostta09g03420
17	18158	19052	TSS	ostta17g00090,ostta17g00080
2	671834	672121	internal.gene.body	ostta02g03430
10	207973	208170	intergenic	
17	98512	98669	TSS	ostta17g00570
2	99907	100074	intergenic	
6	485445	486444	TSS	ostta06g02860
1	241846	242342	TSS	ostta01g01550
