ostta01g00010	AT2G31590.1	7.9
ostta01g00020	AT1G07110.1	2.46e-101
ostta01g00030	AT2G41451.1	7.42e-55
ostta01g00040	AT1G79750.1	1.10e-147
ostta01g00050	AT1G79610.1	7.74e-80
ostta01g00060	AT2G01670.1	2.59e-31
ostta01g00080	AT1G28540.1	0.029
ostta01g00090	AT2G21790.1	0.0
ostta01g00100	AT3G15080.1	5.00e-15
ostta01g00110	AT5G05510.1	5.2
ostta01g00120	AT3G01060.1	2.08e-103
ostta01g00130	AT1G75270.1	6.70e-18
ostta01g00140	AT3G48420.1	1.17e-94
ostta01g00150	AT4G27490.6	0.62
ostta01g00160	AT1G04200.3	1.37e-42
ostta01g00170	AT5G42830.1	1.6
ostta01g00180	AT2G19190.1	1.8
ostta01g00190	AT2G04030.1	0.0
ostta01g00200	AT2G41160.1	1.23e-11
ostta01g00210	AT5G20180.4	4.12e-16
ostta01g00220	AT1G73640.1	1.4
ostta01g00230	AT5G58575.2	1.4
ostta01g00240	AT4G36400.2	1.20e-166
ostta01g00250	AT5G07370.4	8.58e-16
ostta01g00260	AT1G62740.1	5.28e-20
ostta01g00260	AT1G62740.1	7.67e-13
ostta01g00260	AT1G62740.1	5.68e-07
ostta01g00270	AT2G43560.2	2.52e-53
ostta01g00280	AT3G59990.4	0.0
ostta01g00290	AT1G36070.5	1.9
ostta01g00300	AT3G04240.2	2.2
ostta01g00310	AT1G04900.1	2.89e-76
ostta01g00320	AT3G06810.1	0.0
ostta01g00330	AT1G04210.1	1.2
ostta01g00340	AT3G22590.1	0.53
ostta01g00350	AT3G62590.1	4.9
ostta01g00360	AT2G45240.1	3.06e-122
ostta01g00370	AT5G20090.4	1.84e-43
ostta01g00380	AT3G49400.2	0.17
ostta01g00390	AT5G02080.7	9.47e-49
ostta01g00400	AT1G20200.1	7.76e-140
ostta01g00410	AT1G48160.2	1.19e-16
ostta01g00420	AT2G33820.1	8.29e-36
ostta01g00430	AT2G15480.2	1.5
ostta01g00440	AT4G01840.1	8.12e-04
ostta01g00450	AT4G22240.1	1.5
ostta01g00460	AT1G49040.3	6.46e-30
ostta01g00460	AT1G49040.3	5.5
ostta01g00470	AT1G08125.1	2.04e-05
ostta01g00480	AT5G47320.1	0.008
ostta01g00485	AT1G61580.1	1.08e-176
ostta01g00490	AT2G46820.2	5.19e-21
ostta01g00500	AT5G57250.1	2.2
ostta01g00510	AT5G18810.2	2.1
ostta01g00520	AT5G58270.1	9.44e-162
ostta01g00530	AT5G11760.1	0.14
ostta01g00540	AT5G11960.1	0.44
ostta01g00550	AT3G08920.1	2.26e-04
ostta01g00560	AT4G15930.1	5.60e-38
ostta01g00570	AT4G01560.1	6.87e-80
ostta01g00570	AT4G01560.1	2.62e-09
ostta01g00580	AT1G71140.1	2.44e-54
ostta01g00590	AT2G37770.2	1.89e-80
ostta01g00600	AT1G21770.1	1.3
ostta01g00610	AT5G62930.1	5.11e-18
ostta01g00620	AT2G26970.2	1.7
ostta01g00630	AT4G30490.1	1.69e-72
ostta01g00640	AT1G45221.1	4.8
ostta01g00650	AT2G03670.1	4.45e-163
ostta01g00660	AT5G45160.1	4.4
ostta01g00670	AT3G11630.1	1.88e-23
ostta01g00680	AT1G10095.2	6.03e-17
ostta01g00690	AT5G55830.1	4.66e-06
ostta01g00720	AT5G15450.1	0.0
ostta01g00730	AT5G40270.1	2.97e-120
ostta01g00740	AT3G08650.2	1.65e-61
ostta01g00750	AT2G32410.1	7.30e-61
ostta01g00760	AT4G17740.2	1.05e-115
ostta01g00770	AT4G13630.2	5.4
ostta01g00780	AT2G35660.1	5.11e-19
ostta01g00790	AT2G46210.1	3.90e-06
ostta01g00800	AT5G65205.1	7.54e-19
ostta01g00810	AT5G03940.1	7.80e-161
ostta01g00820	AT1G72270.1	3.69e-33
ostta01g00820	AT1G72270.1	7.87e-30
ostta01g00820	AT1G72270.1	0.41
ostta01g00830	AT4G32260.1	6.72e-26
ostta01g00840	AT5G61940.1	0.52
ostta01g00850	AT3G06250.3	5.1
ostta01g00860	AT3G59980.1	5.59e-17
ostta01g00870	AT2G35340.1	0.16
ostta01g00880	AT5G20350.1	0.005
ostta01g00880	AT5G20350.1	7.4
ostta01g00890	AT1G10130.1	1.97e-111
ostta01g00910	AT3G57000.1	5.15e-46
ostta01g00920	AT3G52090.1	1.29e-12
ostta01g00930	AT5G41040.2	5.93e-11
ostta01g00940	AT5G11050.1	3.4
ostta01g00950	AT2G27840.4	0.48
ostta01g00960	AT3G19830.4	7.2
ostta01g00970	AT1G71350.1	3.76e-58
ostta01g00980	AT1G15690.1	0.0
ostta01g00990	AT3G02950.2	1.02e-08
