10990    1.0  0.0  0.2  12         290970  292310  (250347) + rnd-1_family-9    DNA/TcMar-Stowaway      1   1338  (680)  1788  
 2755    2.1  0.0  0.0  12         298150  298486  (244171) + rnd-1_family-9    DNA/TcMar-Stowaway   1682   2018    (0)  1793  
  388   18.3  0.0  1.2  12         358915  358997  (183660) + rnd-1_family-9    DNA/TcMar-Stowaway     50    131 (1887)  1827  
16329    1.5  0.2  0.0  13         214244  216257  (333366) + rnd-1_family-9    DNA/TcMar-Stowaway      1   2018    (0)  2128  
 1007   11.6  2.6  0.5  19          16143   16333  (169095) + rnd-1_family-9    DNA/TcMar-Stowaway   1375   1569  (449)  4171  
 1076    2.2  0.0  0.0  19         152590  152723   (32705) + rnd-1_family-9    DNA/TcMar-Stowaway    209    342 (1676)  4277  
  849    3.7  0.0  0.0  2           20292   20400 (1053672) + rnd-1_family-9    DNA/TcMar-Stowaway   1910   2018    (0)  4340  
 1920    3.4  0.0  0.4  2           65917   66152 (1007920) + rnd-1_family-9    DNA/TcMar-Stowaway      1    235 (1783)  4378  
 2499    8.9  1.6  0.3  2           66154   66537 (1007535) + rnd-1_family-9    DNA/TcMar-Stowaway   1348   1736  (282)  4379  
 1176    6.0  1.2  1.2  2          137505  137673  (936399) C rnd-1_family-9    DNA/TcMar-Stowaway (1849)    169      1  4439  
  522   18.9  2.7  0.9  2          154734  154845  (919227) + rnd-1_family-9    DNA/TcMar-Stowaway      1    114 (1904)  4460  
 1659    5.2  0.0  0.0  2          239823  240032  (834040) + rnd-1_family-9    DNA/TcMar-Stowaway      1    210 (1808)  4486 *
 5910    9.1  0.7  0.3  2          240017  240898  (833174) + rnd-1_family-9    DNA/TcMar-Stowaway    924   1808  (210)  4487  
 1598    6.9  0.5  0.5  2          250337  250555  (823517) + rnd-1_family-9    DNA/TcMar-Stowaway   1800   2018    (0)  4497  
 5200    6.7  0.3  0.4  2          259338  260023  (814049) C rnd-1_family-9    DNA/TcMar-Stowaway (1203)    815    131  4499  
 3162    8.5 12.7  0.7  2          273630  274228  (799844) C rnd-1_family-9    DNA/TcMar-Stowaway    (0)   2018   1348  4506  
 1785    4.7  0.8  0.4  2          274230  274463  (799609) C rnd-1_family-9    DNA/TcMar-Stowaway (1783)    235      1  4507  
  227   24.0  0.0  0.0  2          285597  285646  (788426) + rnd-1_family-9    DNA/TcMar-Stowaway      2     51 (1967)  4513  
  918   14.9  0.0  2.6  2          285885  286042  (788030) + rnd-1_family-9    DNA/TcMar-Stowaway   1844   1997   (21)  4515  
17342    1.5  0.2  0.0  2          304641  306654  (767418) + rnd-1_family-9    DNA/TcMar-Stowaway      1   2018    (0)  4533  
16569    3.3  0.2  0.1  2          306817  308830  (765242) C rnd-1_family-9    DNA/TcMar-Stowaway    (0)   2018      1  4535  
 7405    3.0  0.5  0.0  2          319937  320834  (753238) + rnd-1_family-9    DNA/TcMar-Stowaway   1117   2018    (0)  4547  
 1612    7.6  0.5  0.5  2          332075  332298  (741774) + rnd-1_family-9    DNA/TcMar-Stowaway      7    230 (1788)  4556  
 9160    0.9  0.0  0.0  2          355258  356300  (717772) + rnd-1_family-9    DNA/TcMar-Stowaway      1   1043  (975)  4568  
  896    3.7  0.0  0.0  2          434592  434700  (639372) + rnd-1_family-9    DNA/TcMar-Stowaway   1910   2018    (0)  4642  
 2081    6.0  0.0  0.0  2          480306  480570  (593502) + rnd-1_family-9    DNA/TcMar-Stowaway      1    265 (1753)  4682  
11692    6.2  0.4  0.9  2          481005  482581  (591491) + rnd-1_family-9    DNA/TcMar-Stowaway    450   2018    (0)  4684  
15213    5.5  0.4  0.1  2          506913  508871  (565201) + rnd-1_family-9    DNA/TcMar-Stowaway     55   2018    (0)  4703  
  393   18.6  2.3  0.0  2          525328  525413  (548659) C rnd-1_family-9    DNA/TcMar-Stowaway (1925)     93      6  4723  
  782   15.2  0.7  4.1  2          551478  551628  (522444) + rnd-1_family-9    DNA/TcMar-Stowaway   1873   2018    (0)  4743  
 1625    3.4  0.0  0.0  2          981629  981835   (92237) + rnd-1_family-9    DNA/TcMar-Stowaway     30    236 (1782)  5084 *
 2082    9.5  1.4  0.3  2          981834  982181   (91891) + rnd-1_family-9    DNA/TcMar-Stowaway   1346   1697  (321)  5085  
  811   11.4  0.0  7.8  4          440041  440192  (504756) C rnd-1_family-9    DNA/TcMar-Stowaway    (0)   2018   1878  6301  
  351    7.6 22.5  1.0  6          143238  143317  (650306) C rnd-1_family-9    DNA/TcMar-Stowaway (1921)     97      1  7267  
 3642    2.6  0.0  0.0  6          722066  722518   (71105) C rnd-1_family-9    DNA/TcMar-Stowaway    (0)   2018   1566  7653  
