  228   32.7  0.0  0.0  10         101909  102012  (489484) + ltr-1_family-3    LTR/Copia            2017   2120 (1498)   766  
 1298    0.0  0.0  0.0  15         221504  221661  (289669) + ltr-1_family-3    LTR/Copia            3461   3618    (0)  2950 *
 1356    7.1  0.0  0.0  15         221647  221830  (289500) + ltr-1_family-1    LTR/Unknown             1    184    (0)  2951  
 1556    0.0  0.0  0.0  16         175683  175866  (352415) + ltr-1_family-1    LTR/Unknown             1    184    (0)  3309  
15125    0.0  0.0  0.0  16         175867  177658  (350623) + ltr-1_family-2    LTR/Copia               1   1792    (0)  3310  
  316   10.4  0.0  0.0  16         177626  177673  (350608) + ltr-1_family-3    LTR/Copia            3571   3618    (0)  3311 *
 1556    0.0  0.0  0.0  16         177659  177842  (350439) + ltr-1_family-1    LTR/Unknown             1    184    (0)  3312  
 2531    0.7  0.0  0.0  19          38336   38641  (146787) + ltr-1_family-3    LTR/Copia             316    621 (2997)  4189  
  291   33.0  4.3 11.4  19          51667   51919  (133509) + ltr-1_family-3    LTR/Copia            2746   2982  (636)  4202  
 1404    8.4  1.1  1.1  19          51931   52311  (133117) + ltr-1_family-3    LTR/Copia            3378   3595   (23)  4203  
  275   14.9  0.0  0.0  19          52279   52325  (133103) + ltr-1_family-3    LTR/Copia            3571   3617    (1)  4204 *
  434   21.0  0.0  1.0  19          52326   52426  (133002) + ltr-1_family-1    LTR/Unknown            50    149   (35)  4205  
 1330    6.6  0.6  0.0  19          61164   61346  (124082) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4210  
  368    0.0  0.0  0.0  19          61332   61346  (124082) C ltr-1_family-3    LTR/Copia             (0)   3618   3604  4211 *
 8718    3.8  0.5  0.7  19          61347   62504  (122924) C ltr-1_family-2    LTR/Copia             (0)   1792    525  4212  
  405    8.1  1.6  0.0  19          62483   62544  (122884) C ltr-1_family-3    LTR/Copia          (2192)   1426   1364  4213 *
  908   15.5  0.0  0.0  19          62541   62701  (122727) C ltr-1_family-3    LTR/Copia          (2399)   1219   1059  4213 *
 4238    1.0  1.0  0.0  19          62693   63212  (122216) C ltr-1_family-2    LTR/Copia          (1267)    525      1  4214  
 1344    6.0  0.6  0.0  19          63213   63395  (122033) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4215  
  784   25.3  1.4  1.4  19         166081  166300   (19128) + ltr-1_family-2    LTR/Copia             966   1185  (607)  4302  
  863   25.8  4.1  2.7  19         166468  166758   (18670) + ltr-1_family-2    LTR/Copia            1301   1595  (197)  4302  
  634   28.6  8.8  1.6  19         166773  167010   (18418) + ltr-1_family-3    LTR/Copia            2146   2400 (1218)  4303  
 5435    0.5  0.0  0.0  2           53375   54026 (1020046) + ltr-1_family-2    LTR/Copia            1141   1792    (0)  4360  
  316   10.4  0.0  0.0  2           53994   54041 (1020031) + ltr-1_family-3    LTR/Copia            3571   3618    (0)  4361 *
 1508    1.6  0.0  0.0  2           54027   54210 (1019862) + ltr-1_family-1    LTR/Unknown             1    184    (0)  4362  
  518   16.7  0.0  0.0  2           58706   58795 (1015277) C ltr-1_family-1    LTR/Unknown           (0)    184     95  4367  
  797    5.0  0.0  0.0  2           59041   59140 (1014932) C ltr-1_family-1    LTR/Unknown          (84)    100      1  4367  
  337    8.5  0.0  0.0  2           59126   59172 (1014900) C ltr-1_family-3    LTR/Copia             (0)   3618   3572  4370 *
  418   25.8  2.6  7.6  2           64653   64845 (1009227) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4374  
 1118   11.5  0.5  1.6  2           86640   86825  (987247) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4395  
  510   14.8  2.0  1.0  2          117678  117779  (956293) C ltr-1_family-1    LTR/Unknown           (0)    184     82  4415 *
  316   22.4  0.0  1.3  2          122816  122892  (951180) C ltr-1_family-1    LTR/Unknown           (0)    184    109  4420  
 1178   13.3  0.0  0.0  2          129034  129214  (944858) C ltr-1_family-1    LTR/Unknown           (0)    184      4  4426  
 1120   13.1  0.5  1.6  2          130771  130956  (943116) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4428  
 1443    9.1  1.4  0.0  2          142749  142968  (931104) + ltr-1_family-2    LTR/Copia            1588   1792    (0)  4445  
  260   12.2  0.0  0.0  2          142936  142976  (931096) + ltr-1_family-3    LTR/Copia            3571   3611    (7)  4446 *
  995   12.2  0.6  1.8  2          154446  154612  (919460) + ltr-1_family-1    LTR/Unknown            20    184    (0)  4459  
  350    8.3  0.0  0.0  2          289758  289805  (784267) + ltr-1_family-1    LTR/Unknown             1     48  (136)  4519  
  249    3.1  0.0  0.0  2          329615  329646  (744426) C ltr-1_family-1    LTR/Unknown         (152)     32      1  4555 *
 1175    9.9  1.1  2.2  2          356703  356888  (717184) C ltr-1_family-1    LTR/Unknown           (0)    184      1  4572  
 1171   10.9  0.5  1.6  2          382906  383091  (690981) + ltr-1_family-1    LTR/Unknown             1    184    (0)  4606  
